ResultLeagueModel, Home Team, Away Team, 1, X, 2, 1X, X2
International - Esports Battle - Champions League B, Paris Saint Germain (Labotryas), Real Madrid (Kraftvk), 2,08, 3,40, 3,10, 1,33
International - Esports Battle - Champions League B, Manchester City (Meltosik), Real Madrid (Kraftvk), 2,55, 2,55, 3,15, 1,32
International - Esports Battle - Europa League, Ajax Amsterdam (Meltosik), Bayer 04 Leverkusen (Labotryas), 2,85, 2,95, 2,44, 1,48
International - Esports Battle - Europa League, CF Valencia (Kraftvk), FC Porto (Kray), 2,32, 2,60, 3,50, 1,28
International - Esports Battle - Europa League, Bayer 04 Leverkusen (Labotryas), Manchester United (Upcake22), 2,27, 2,80, 3,30, 1,30
International - Esports Battle - Europa League, Bayer 04 Leverkusen (Labotryas), Ajax Amsterdam (Meltosik), 2,43, 2,90, 2,90, 1,36
International - Esports Battle - Europa League, Ajax Amsterdam (Meltosik), CF Valencia (Kraftvk), 2,65, 2,70, 2,85, 1,38
International - Esports Battle - Europa League, Manchester United (Upcake22), CF Valencia (Kraftvk), 2,38, 2,46, 3,65, 1,26
International - Esports Battle - Europa League, Manchester United (Pablik), FC Porto (Olle), 2,75, 2,90, 2,55, 1,44
International - Esports Battle - Europa League, Ajax (Inquisitor), CF Valencia (Mooneycb), 3,50, 2,49, 2,41, 1,49
International - Esports Battle - Europa League, Manchester United (Upcake22), FC Porto (Kray), 2,25, 2,65, 3,65, 1,26
International - Esports Battle - Europa League, FC Porto (Kray), Bayer 04 Leverkusen (Labotryas), 3,65, 2,85, 2,11, 1,62
International - Esports Battle - Europa League, FC Porto (Kray), CF Valencia (Kraftvk), 3,50, 2,60, 2,32, 1,52
International - Esports Battle - Europa League, FC Porto (Kray), Ajax Amsterdam (Meltosik), 3,35, 2,80, 2,26, 1,55
International - Esports Battle - Europa League, Bayer 04 Leverkusen (Labotryas), FC Porto (Kray), 2,11, 2,85, 3,65, 1,26
International - Esports Battle - Europa League, Manchester United (Upcake22), Bayer 04 Leverkusen (Labotryas), 3,35, 2,80, 2,26, 1,55
International - Esports Battle - Europa League, Bayer 04 Leverkusen (Labotryas), CF Valencia (Kraftvk), 2,05, 2,95, 3,65, 1,26
International - Esports Battle - Europa League, CF Valencia (Kraftvk), Ajax Amsterdam (Meltosik), 2,80, 2,75, 2,60, 1,43
International - Esports Battle - Europa League, CF Valencia (Kraftvk), Bayer 04 Leverkusen (Labotryas), 3,65, 2,95, 2,05, 1,65
International - Esports Battle - Europa League, FC Porto (Kray), Manchester United (Upcake22), 3,65, 2,65, 2,25, 1,55
International - Esports Battle - Europa League, Manchester United (Upcake22), Ajax Amsterdam (Meltosik), 2,80, 2,65, 2,80, 1,39
International - Esports Battle - Europa League, CF Valencia (Kraftvk), Manchester United (Upcake22), 3,70, 2,47, 2,35, 1,51
International - Esports Battle - Europa League, Ajax Amsterdam (Meltosik), FC Porto (Kray), 2,26, 2,80, 3,35, 1,29
International - Esports Battle - Europa League, Ajax Amsterdam (Meltosik), Manchester United (Upcake22), 2,80, 2,60, 2,80, 1,39
International - Esports-Champions League (2x4min), Liverpool FC (Olle), Real Madrid (Genad), 3,45, 2,75, 2,25, 1,55
International - Esports-Champions League (2x4min), FC Barcelona (Inquisitor), Real Madrid (Genad), 3,75, 2,47, 2,34, 1,52
International - Esports-Champions League (2x4min), Manchester City (Mooneycb), Liverpool FC (Olle), 2,60, 2,55, 3,10, 1,33
International - Esports-Champions League (2x4min), Real Madrid (Genad), Paris Saint Germain (Pablik), 2,65, 2,90, 2,65, 1,42
International - Esports-Champions League (2x4min), Liverpool FC (Olle), Manchester City (Mooneycb), 3,10, 2,55, 2,60, 1,43
International - Esports-Champions League (2x4min), FC Barcelona (Inquisitor), Paris Saint Germain (Pablik), 3,75, 2,55, 2,27, 1,54
International - Esports-Champions League (2x4min), Paris Saint Germain (Pablik), Real Madrid (Genad), 2,65, 2,90, 2,65, 1,42
International - Esports-Champions League (2x4min), Manchester City (Mooneycb), Paris Saint Germain (Pablik), 2,70, 2,75, 2,70, 1,40
International - Esports-Champions League (2x4min), Real Madrid (Genad), FC Barcelona (Inquisitor), 2,38, 2,39, 3,85, 1,24
International - Esports-Champions League (2x4min), Paris Saint Germain (Pablik), Manchester City (Mooneycb), 2,70, 2,80, 2,70, 1,41
International - Esports-Champions League (2x4min), Real Madrid (Genad), Manchester City (Mooneycb), 2,55, 2,75, 2,90, 1,37
International - Esports-Champions League (2x4min), Real Madrid (Genad), Liverpool FC (Olle), 2,26, 2,70, 3,45, 1,28
International - Esports-Champions League (2x4min), Paris Saint Germain (Pablik), FC Barcelona (Inquisitor), 2,25, 2,55, 3,75, 1,25
International - Esports-Champions League (2x4min), Manchester City (Mooneycb), Real Madrid (Genad), 2,90, 2,75, 2,55, 1,45
International - Esports-Champions League (2x4min), FC Barcelona (Inquisitor), Liverpool FC (Olle), 3,85, 2,49, 2,27, 1,54
International - Esports-Champions League (2x4min), Liverpool FC (Olle), FC Barcelona (Inquisitor), 2,28, 2,45, 3,95, 1,23
International - Esports-Champions League (2x4min), Liverpool FC (Olle), Paris Saint Germain (Pablik), 2,55, 2,90, 2,75, 1,40
International - Esports-Champions League (2x4min), Manchester City (Mooneycb), FC Barcelona (Inquisitor), 2,37, 2,70, 3,25, 1,31
International - Esports-Champions League (2x4min), FC Barcelona (Inquisitor), Manchester City (Mooneycb), 3,45, 2,55, 2,41, 1,49
International - Esports-Champions League (2x4min), Paris Saint Germain (Pablik), Liverpool FC (Olle), 2,75, 2,90, 2,55, 1,44
International - Esports-English Premier League (2x4min), Tottenham Hotspur (Meltosik), Manchester City (Kraftvk), 2,80, 2,60, 2,80, 1,38
International - Esports-English Premier League (2x4min), Liverpool FC (Upcake22), Arsenal FC (Labotryas), 3,85, 2,50, 2,25, 1,55
International - Esports-English Premier League (2x4min), Arsenal FC (Labotryas), Liverpool FC (Upcake22), 2,26, 2,50, 3,85, 1,24
International - Esports-English Premier League (2x4min), Manchester United (Kray), Tottenham Hotspur (Meltosik), 2,90, 2,80, 2,50, 1,46
International - Esports-English Premier League (2x4min), Arsenal FC (Labotryas), Manchester City (Kraftvk), 2,13, 3,00, 3,35, 1,29
International - Esports-English Premier League (2x4min), Tottenham Hotspur (Meltosik), Arsenal FC (Labotryas), 2,70, 2,85, 2,70, 1,41
International - Esports-English Premier League (2x4min), Manchester United (Kray), Arsenal FC (Labotryas), 2,85, 2,85, 2,50, 1,46
International - Esports-English Premier League (2x4min), Liverpool FC (Upcake22), Manchester United (Kray), 2,85, 2,50, 2,85, 1,37
International - Esports-English Premier League (2x4min), Arsenal FC (Labotryas), Tottenham Hotspur (Meltosik), 2,70, 2,85, 2,70, 1,41
International - Esports-English Premier League (2x4min), Arsenal FC (Labotryas), Manchester United (Kray), 2,50, 2,85, 2,85, 1,38
International - Esports-English Premier League (2x4min), Manchester United (Kray), Liverpool FC (Upcake22), 2,85, 2,50, 2,85, 1,37
International - Esports-English Premier League (2x4min), Manchester City (Kraftvk), Arsenal FC (Labotryas), 3,40, 3,00, 2,13, 1,61
International - Esports-English Premier League (2x4min), Manchester City (Kraftvk), Manchester United (Kray), 2,50, 2,85, 2,85, 1,37
International - Esports-English Premier League (2x4min), Manchester City (Kraftvk), Liverpool FC (Upcake22), 2,70, 2,46, 3,10, 1,33
International - Esports-English Premier League (2x4min), Liverpool FC (Upcake22), Manchester City (Kraftvk), 3,10, 2,46, 2,70, 1,40
International - Esports-English Premier League (2x4min), Tottenham Hotspur (Meltosik), Manchester United (Kray), 2,50, 2,80, 2,90, 1,37
